@relation 123

@attribute TEMPINC numeric
@attribute DEWPOINTTEMPINC numeric
@attribute RELHUMINPERCENT numeric
@attribute WINDDIRIN10SDEG numeric
@attribute WINDSPDINKMH numeric
@attribute VISIBILITYINKM numeric
@attribute STNPRESSINKPA numeric
@attribute WINDCHILL numeric
@attribute Class {1,2,3}
@data
-30.6,-35.5,62,1,11,24.1,99.94,-40,1
-31.3,-36.8,58,36,11,24.1,100.04,-41,1
-31.6,-36.3,63,2,6,24.1,100.11,-38,1
-30.6,-36.2,58,4,9,24.1,100.18,-39,1
-28.1,-34,57,28,7,24.1,100.21,-35,1
-24.9,-29.4,66,35,7,24.1,99.58,-31,3
-24.3,-29.3,63,36,15,24.1,99.64,-34,3
-25.8,-30.4,65,33,17,24.1,99.71,-37,3
-26.2,-30.5,67,33,20,9.7,99.74,-38,3
-27,-31.9,63,33,22,6.4,99.78,-40,3
-34.6,-37.8,73,24,4,24.1,100.27,-40,3
-34.4,-39.1,62,26,4,24.1,100.31,-39,3
-33.1,-37.8,63,33,11,24.1,100.57,-43,3
-32,-37.4,59,33,7,24.1,100.61,-40,3
-31.1,-36.4,60,34,13,24.1,100.67,-42,3
-30.2,-36.3,55,32,13,24.1,100.71,-41,1
-29.8,-36.4,53,32,11,24.1,100.71,-39,1
-29.5,-36,53,29,9,24.1,100.67,-38,1
-29.8,-35.7,56,30,7,24.1,100.67,-37,1
-37,-41.2,65,16,6,24.1,100.8,-45,3
-35.3,-39.2,67,16,7,24.1,100.77,-43,3
-33.4,-38.2,62,15,6,24.1,100.71,-40,3
-29,-34.6,58,18,9,24.1,100.64,-37,3
-20.9,-23.2,82,20,13,24.1,99.53,-30,1
-20.9,-23.2,82,22,13,24.1,99.56,-30,1
-21.4,-23.8,81,19,15,24.1,99.53,-31,1
-21.5,-24.7,75,20,26,24.1,99.97,-34,1
-22,-25.3,75,18,32,24.1,99.97,-36,1
-15,-20.3,64,22,13,24.1,100,-22,1
-15.6,-19.8,70,19,13,24.1,100.07,-23,1
-15.5,-19.7,70,21,30,24.1,100.1,-27,1
-15.6,-19.8,70,21,15,24.1,100.17,-24,1
-16.2,-20.6,69,20,19,24.1,100.2,-25,1
-16.4,-18.9,81,21,24,24.1,100.27,-27,1
-16.5,-19,81,23,19,24.1,100.3,-26,1
-17.5,-20.1,80,19,13,24.1,100.34,-25,1
-18.7,-21.5,79,19,7,24.1,100.37,-24,1
-19.2,-22.1,78,18,9,24.1,100.41,-26,1
-19.6,-22.5,78,18,13,24.1,100.44,-28,1
-20.4,-23.5,76,18,9,24.1,100.51,-27,1
-20.3,-23.3,77,21,13,24.1,100.54,-29,1
-20.5,-23.6,76,20,9,24.1,100.57,-27,1
-21.3,-24.5,75,19,11,24.1,100.64,-29,1
-22,-25.3,75,20,7,24.1,100.68,-28,1
-22.8,-26.2,74,17,9,24.1,100.68,-30,1
-23,-26.5,73,17,7,24.1,100.78,-29,1
-22.8,-26.2,74,18,11,24.1,100.78,-31,1
-22.5,-25.9,74,15,7,24.1,100.81,-29,1
-19,-22.6,73,21,7,24.1,100.78,-24,1
-18.2,-21.7,74,21,13,24.1,100.74,-26,1
-15.2,-18.1,78,23,11,24.1,100.78,-22,1
-16,-19,78,21,6,24.1,100.78,-20,1
-16,-19,78,19,7,24.1,100.81,-21,1
-16.8,-20,76,24,13,24.1,100.84,-25,1
-18.2,-21.7,74,23,6,24.1,100.88,-23,1
-18.6,-21.4,79,33,26,24.1,100.88,-30,1
-16.8,-20,76,33,24,24.1,100.91,-27,1
-17.2,-19.8,80,29,19,24.1,100.91,-27,1
-16.2,-18.7,81,29,22,24.1,100.91,-26,1
-16,-19,78,29,24,24.1,100.88,-26,1
-16,-19,78,29,32,24.1,100.84,-28,1
-15.5,-19,74,30,32,24.1,100.81,-27,1
-15.8,-18.8,78,30,33,24.1,100.81,-28,1
0,-0.2,99,35,20,0.2,99.56,-5,2
-0.5,-0.6,99,33,22,1,99.63,-6,2
-0.5,-0.8,98,33,22,2,99.66,-6,2
0,-0.2,99,35,17,4,100.95,-5,2
0,0,100,35,11,4,100.88,-4,2
-13.8,-18.7,66,29,22,24.1,100.37,-23,1
-14.4,-17.1,80,29,20,24.1,100.51,-23,1
-14.6,-17.4,79,29,26,24.1,100.57,-25,1
-14.6,-17.4,79,27,13,24.1,100.71,-22,1
-16.2,-19.3,77,27,7,24.1,100.81,-21,1
-17.5,-20.8,75,17,11,24.1,100.88,-25,1
-17.8,-21.2,75,22,13,24.1,100.98,-26,1
-18.4,-21.9,74,22,13,24.1,101.05,-26,1
-18.6,-22.1,74,21,7,24.1,101.08,-24,1
-18.6,-22.1,74,22,13,24.1,101.05,-27,1
-18.5,-21.3,79,22,19,24.1,101.08,-28,1
-18.5,-21.3,79,21,19,24.1,101.15,-28,1
-19.2,-22.8,73,22,17,24.1,101.15,-29,1
-19.5,-23.2,72,21,9,24.1,101.22,-26,1
