@relation 123

@attribute TEMPINC numeric
@attribute DEWPOINTTEMPINC numeric
@attribute RELHUMINPERCENT numeric
@attribute WINDDIRIN10SDEG numeric
@attribute WINDSPDINKMH numeric
@attribute VISIBILITYINKM numeric
@attribute STNPRESSINKPA numeric
@attribute WINDCHILL numeric
@attribute Class {1,2,3}

@data
-30.6,-35.5,62,1,11,24.1,99.94,-40,2
-31.3,-36.8,58,36,11,24.1,100.04,-41,2
-31.6,-36.3,63,2,6,24.1,100.11,-38,2
-30.6,-36.2,58,4,9,24.1,100.18,-39,2
-28.1,-34,57,28,7,24.1,100.21,-35,2
-27.1,-32.2,62,15,9,24.1,99.78,-35,1
-26.1,-30.9,64,15,7,24.1,99.74,-33,1
-25.2,-30.5,61,14,7,24.1,99.64,-32,1
-23.2,-29.3,57,16,11,24.1,99.58,-31,1
-30.2,-36.3,55,32,13,24.1,100.71,-41,2
-29.8,-36.4,53,32,11,24.1,100.71,-39,2
-29.5,-36,53,29,9,24.1,100.67,-38,2
-29.8,-35.7,56,30,7,24.1,100.67,-37,2
-27.1,-33.9,52,18,17,24.1,100.51,-39,1
-26.1,-33.5,50,18,19,24.1,100.37,-38,1
-25.2,-33.3,47,17,22,24.1,100.14,-38,1
-16.7,-20.7,71,10,9,24.1,97.72,-23,1
-14.7,-19.2,69,14,7,24.1,97.79,-19,1
-13.2,-17.8,68,14,7,24.1,97.76,-18,1
-12.9,-17.5,68,14,4,24.1,97.79,-16,1
-12.8,-17.4,68,12,4,24.1,97.76,-15,1
-12.6,-16.6,72,24,33,24.1,96.82,-23,1
-12.4,-15.8,76,26,37,24.1,96.89,-24,1
-11.4,-14.6,77,22,33,24.1,97.02,-22,1
-11.6,-14.8,77,22,33,24.1,97.29,-22,1
-11.5,-14.2,80,22,37,24.1,97.43,-22,1
-10.6,-13.6,79,25,13,24.1,97.77,-17,1
-20.9,-23.2,82,20,13,24.1,99.53,-30,2
-20.9,-23.2,82,22,13,24.1,99.56,-30,2
-21.4,-23.8,81,19,15,24.1,99.53,-31,2
-20,-24.7,66,22,22,24.1,99.26,-31,1
-19.8,-24.4,67,23,32,24.1,99.29,-33,1
-20.6,-23.7,76,21,28,11.3,99.46,-33,1
-20.5,-23.6,76,22,22,11.3,99.49,-32,1
-20.3,-23.3,77,21,26,16.1,99.56,-32,1
-20.3,-23.3,77,22,28,16.1,99.63,-33,1
-20.3,-23.3,77,22,24,16.1,99.66,-32,1
-20.1,-23.1,77,21,24,16.1,99.76,-32,1
-20.2,-23.2,77,21,26,16.1,99.8,-32,1
-20.2,-23.2,77,21,22,16.1,99.86,-31,1
-21.5,-24.7,75,20,26,24.1,99.97,-34,2
-22,-25.3,75,18,32,24.1,99.97,-36,2
-15,-20.3,64,22,13,24.1,100,-22,2
-15.6,-19.8,70,19,13,24.1,100.07,-23,2
-15.5,-19.7,70,21,30,24.1,100.1,-27,2
-15.6,-19.8,70,21,15,24.1,100.17,-24,2
-16.2,-20.6,69,20,19,24.1,100.2,-25,2
-16.4,-18.9,81,21,24,24.1,100.27,-27,2
-16.5,-19,81,23,19,24.1,100.3,-26,2
-17.5,-20.1,80,19,13,24.1,100.34,-25,2
-18.7,-21.5,79,19,7,24.1,100.37,-24,2
-19.2,-22.1,78,18,9,24.1,100.41,-26,2
-19.6,-22.5,78,18,13,24.1,100.44,-28,2
-20.4,-23.5,76,18,9,24.1,100.51,-27,2
-20.3,-23.3,77,21,13,24.1,100.54,-29,2
-20.5,-23.6,76,20,9,24.1,100.57,-27,2
-21.3,-24.5,75,19,11,24.1,100.64,-29,2
-22,-25.3,75,20,7,24.1,100.68,-28,2
-22.8,-26.2,74,17,9,24.1,100.68,-30,2
-23,-26.5,73,17,7,24.1,100.78,-29,2
-22.8,-26.2,74,18,11,24.1,100.78,-31,2
-22.5,-25.9,74,15,7,24.1,100.81,-29,2
-19,-22.6,73,21,7,24.1,100.78,-24,2
-18.2,-21.7,74,21,13,24.1,100.74,-26,2
-15.2,-18.1,78,23,11,24.1,100.78,-22,2
-16,-19,78,21,6,24.1,100.78,-20,2
-16,-19,78,19,7,24.1,100.81,-21,2
-16.8,-20,76,24,13,24.1,100.84,-25,2
-18.2,-21.7,74,23,6,24.1,100.88,-23,2
-18.6,-21.4,79,33,26,24.1,100.88,-30,2
-16.8,-20,76,33,24,24.1,100.91,-27,2
-17.2,-19.8,80,29,19,24.1,100.91,-27,2
-16.2,-18.7,81,29,22,24.1,100.91,-26,2
-16,-19,78,29,24,24.1,100.88,-26,2
-16,-19,78,29,32,24.1,100.84,-28,2
-15.5,-19,74,30,32,24.1,100.81,-27,2
-15.8,-18.8,78,30,33,24.1,100.81,-28,2
-15.5,-19,74,30,32,24.1,100.78,-27,1
-8.7,-10.8,85,29,41,24.1,99.9,-19,1
-8.5,-11,82,31,41,24.1,99.83,-19,1
-8.4,-11.3,80,31,44,24.1,99.73,-19,1
-8.2,-10.7,82,29,33,24.1,99.66,-18,1
-8.3,-11.2,80,28,33,24.1,99.59,-18,1
-8.4,-10.9,82,30,41,24.1,99.46,-19,1
-8.7,-11.3,81,29,33,24.1,99.42,-18,1
-7.7,-10.5,80,31,33,24.1,99.29,-17,1
-6.8,-9,84,31,30,24.1,99.26,-15,1
-6.8,-9,84,30,32,24.1,99.19,-16,1
-6.6,-8.8,84,31,30,24.1,99.05,-15,1
-6.2,-9.4,78,30,17,24.1,98.95,-12,1
-0.1,-1.1,93,35,15,24.1,98.65,-5,1
0,-0.2,99,35,20,0.2,99.56,-5,3
-0.5,-0.6,99,33,22,1,99.63,-6,3
-0.5,-0.8,98,33,22,2,99.66,-6,3
0,-0.2,99,35,17,4,100.95,-5,3
0,0,100,35,11,4,100.88,-4,3
-1.3,-2.5,92,33,19,19.3,100,-7,1
-1.5,-3,89,33,28,24.1,100.03,-8,1
-1,-2.2,92,33,19,19.3,100,-6,1
-1.6,-2.9,91,34,19,19.3,100.2,-7,1
-1.8,-3.1,91,34,15,19.3,100.24,-7,1
-1.7,-3,91,31,13,19.3,100.27,-6,1
-2,-3.3,91,30,13,19.3,100.27,-6,1
-2.2,-3.6,90,33,19,19.3,100.24,-8,1
-4,-5.1,92,15,9,24.1,100,-8,1
-13.8,-18.7,66,29,22,24.1,100.37,-23,2
-14.4,-17.1,80,29,20,24.1,100.51,-23,2
-14.6,-17.4,79,29,26,24.1,100.57,-25,2
-14.6,-17.4,79,27,13,24.1,100.71,-22,2
-16.2,-19.3,77,27,7,24.1,100.81,-21,2
-17.5,-20.8,75,17,11,24.1,100.88,-25,2
-17.8,-21.2,75,22,13,24.1,100.98,-26,2
-18.4,-21.9,74,22,13,24.1,101.05,-26,2
-18.6,-22.1,74,21,7,24.1,101.08,-24,2
-18.6,-22.1,74,22,13,24.1,101.05,-27,2
-18.5,-21.3,79,22,19,24.1,101.08,-28,2
-18.5,-21.3,79,21,19,24.1,101.15,-28,2
-19.2,-22.8,73,22,17,24.1,101.15,-29,2
-19.5,-23.2,72,21,9,24.1,101.22,-26,2
-18.4,-21.9,74,21,17,24.1,101.15,-28,2
-17.2,-20.4,76,22,32,24.1,101.08,-29,2
-5.2,-7.8,82,18,26,24.1,100.37,-13,1
-4.6,-6.4,87,18,28,24.1,100.27,-12,1
-5.2,-7.1,86,15,32,24.1,100.24,-13,1
-5.2,-7.1,86,17,32,24.1,100.13,-13,1
-4.2,-5.9,88,17,35,24.1,100.03,-13,1
-3.2,-4.8,89,18,32,24.1,100.13,-11,1
-2.4,-4.1,88,18,35,24.1,99.93,-10,1
-1.7,-3,91,16,33,24.1,99.86,-9,1
-1.3,-2,95,17,32,24.1,99.76,-8,1
-1,-2.7,88,16,30,24.1,99.66,-8,1
-0.2,-2.3,86,14,30,24.1,99.42,-7,1
-0.4,-1.7,91,16,32,24.1,99.22,-7,1
-0.4,-1.7,91,16,32,24.1,99.02,-7,1
-0.5,-1.8,91,22,35,24.1,97.6,-8,1
-2,-4.2,85,22,33,24.1,97.67,-9,2
-12,-15.8,73,21,52,24.1,98.31,-25,2
-13.2,-16.8,74,21,46,24.1,98.48,-26,2
-15.4,-18.9,75,21,56,24.1,98.61,-30,2
-16,-19.7,73,20,37,24.1,98.78,-28,2
-16.6,-20.4,72,21,54,24.1,98.85,-31,2
-17.7,-21.8,70,22,46,24.1,98.95,-32,2
-18,-21.4,75,22,52,24.1,99.02,-33,2
-18.2,-20.9,79,21,52,24.1,99.09,-33,2
-17.8,-21.2,75,21,63,24.1,99.15,-34,2
-17.8,-21.2,75,21,63,24.1,99.15,-34,2
-15,-19,71,21,52,24.1,99.39,-29,2
-15,-19,71,21,59,24.1,99.39,-29,2
-14.8,-18.8,72,21,70,24.1,99.49,-30,2
-14.8,-18.8,72,21,65,24.1,99.59,-30,2
-16.5,-20.3,72,19,17,24.1,100.54,-25,1
-15,-19.7,67,22,26,24.1,100.47,-25,1
-15.4,-20.2,67,21,17,24.1,100.34,-24,1
-15.4,-20.2,67,23,17,24.1,100.17,-24,1
-15.1,-20.5,63,24,22,24.1,100,-25,1
-15,-20.3,64,27,17,24.1,99.83,-23,1
-14.6,-19.1,69,33,20,24.1,99.49,-24,1
-14,-18.4,69,1,7,24.1,99.36,-19,1
-13.6,-17.9,70,33,28,24.1,99.26,-24,1
-15,-19,71,31,30,24.1,99.12,-26,1
-16,-19.7,73,30,28,24.1,98.95,-27,1
-16,-19,78,31,33,24.1,98.82,-28,1
-16,-19,78,30,32,24.1,98.71,-28,1
-16.2,-19.3,77,29,37,24.1,98.71,-29,1
-16.4,-19.5,77,27,26,24.1,98.71,-27,1
-16.8,-20,76,21,32,24.1,99.12,-29,1
-18.4,-21.2,79,22,32,24.1,99.19,-31,2
-19.9,-24.5,67,21,28,24.1,99.29,-32,2
-13.4,-18.2,67,21,35,24.1,99.63,-25,2
-12.8,-17.4,68,22,32,24.1,99.66,-23,2
-14,-17.8,73,23,19,24.1,100.34,-23,2
-14.3,-17.6,76,23,15,24.1,100.37,-22,2
-19.5,-24.9,62,25,28,24.1,100.98,-32,2
-20,-25.6,61,26,32,24.1,101.08,-33,2
-20.3,-25.1,65,25,33,24.1,101.15,-33,2
-20.5,-26.3,60,26,19,24.1,101.22,-31,2
-21,-26,64,29,30,24.1,101.18,-34,2
-21.6,-25.8,69,21,30,24.1,101.18,-35,2
-22.2,-26.5,68,27,32,24.1,101.28,-36,2
-22.5,-25.9,74,28,26,24.1,101.28,-35,2
-24.2,-27.9,71,27,30,24.1,101.22,-38,2
-24.6,-29.5,64,28,32,24.1,101.15,-39,2
-24.6,-26.2,87,28,22,24.1,101.15,-37,2
-24.6,-28.3,71,26,22,24.1,101.15,-37,2
-24.5,-27.3,78,24,30,24.1,101.05,-38,2
-24.4,-29.3,64,24,22,24.1,101.05,-37,2
-24.4,-29.3,64,24,22,24.1,101.05,-37,2
-24.9,-28.7,71,24,19,24.1,100.98,-36,2
-25.3,-29.2,70,21,20,24.1,100.98,-37,2
-21.8,-27,63,36,19,24.1,100.54,-32,2
